clip_filename,true,class,R_trim,mu_train,sigma_train,Z,pred_calibrated,pred_raw
1_vBCN7D6Tw_29_39.wav,V6,V6,25.11429214477539,18.532111996098568,4.92120473061904,1.3375139846800985,V8,V8
1_vBCN7D6Tw_29_39.wav,V6,V8,22.653575897216797,19.950488726298016,5.10003786557786,0.5300131571890806,V8,V8
1_vBCN7D6Tw_29_39.wav,V6,inline-4,26.702316284179688,19.914355754852295,7.583713082035107,0.8950708519560484,V8,V8
1_vBCN7D6Tw_29_39.wav,V6,inline-6,42.675926208496094,17.8376072929019,4.25324051294242,5.839857595640854,V8,V8
1_vBCN7D6Tw_29_39.wav,V6,single-cylinder,30.207664489746094,19.275436680491378,3.8090827778754703,2.8700420670175633,V8,V8
-h_Jo-4R1qw_20_30.wav,V6,V6,18.435565948486328,18.532111996098568,4.92120473061904,-0.019618376575870466,V8,V8
-h_Jo-4R1qw_20_30.wav,V6,V8,17.91853141784668,19.950488726298016,5.10003786557786,-0.398420043538462,V8,V8
-h_Jo-4R1qw_20_30.wav,V6,inline-4,26.24716567993164,19.914355754852295,7.583713082035107,0.8350539975043362,V8,V8
-h_Jo-4R1qw_20_30.wav,V6,inline-6,20.948768615722656,17.8376072929019,4.25324051294242,0.7314802239265876,V8,V8
-h_Jo-4R1qw_20_30.wav,V6,single-cylinder,22.451030731201172,19.275436680491378,3.8090827778754703,0.8336899552708048,V8,V8
44uH0cqsoTA_30_40.wav,single-cylinder,V6,15.619876861572266,18.532111996098568,4.92120473061904,-0.5917728064444844,single-cylinder,inline-6
44uH0cqsoTA_30_40.wav,single-cylinder,V8,16.227745056152344,19.950488726298016,5.10003786557786,-0.7299443196827845,single-cylinder,inline-6
44uH0cqsoTA_30_40.wav,single-cylinder,inline-4,19.458097457885742,19.914355754852295,7.583713082035107,-0.06016291650687222,single-cylinder,inline-6
44uH0cqsoTA_30_40.wav,single-cylinder,inline-6,15.31602668762207,17.8376072929019,4.25324051294242,-0.5928610426818736,single-cylinder,inline-6
44uH0cqsoTA_30_40.wav,single-cylinder,single-cylinder,16.202354431152344,19.275436680491378,3.8090827778754703,-0.8067774917333398,single-cylinder,inline-6
490glKBS92E_4_14.wav,single-cylinder,V6,27.23296356201172,18.532111996098568,4.92120473061904,1.7680328379304528,inline-4,V6
490glKBS92E_4_14.wav,single-cylinder,V8,33.08200454711914,19.950488726298016,5.10003786557786,2.5747879068606205,inline-4,V6
490glKBS92E_4_14.wav,single-cylinder,inline-4,31.418081283569336,19.914355754852295,7.583713082035107,1.5168988336291316,inline-4,V6
490glKBS92E_4_14.wav,single-cylinder,inline-6,29.243873596191406,17.8376072929019,4.25324051294242,2.681782576974133,inline-4,V6
490glKBS92E_4_14.wav,single-cylinder,single-cylinder,41.39202880859375,19.275436680491378,3.8090827778754703,5.806277631077889,inline-4,V6
1llNz7oLjM8_11_21.wav,inline-4,V6,22.58953857421875,18.532111996098568,4.92120473061904,0.8244783137908178,inline-4,V6
1llNz7oLjM8_11_21.wav,inline-4,V8,25.51777458190918,19.950488726298016,5.10003786557786,1.0916165727291836,inline-4,V6
1llNz7oLjM8_11_21.wav,inline-4,inline-4,24.06138801574707,19.914355754852295,7.583713082035107,0.546834013369861,inline-4,V6
1llNz7oLjM8_11_21.wav,inline-4,inline-6,30.445688247680664,17.8376072929019,4.25324051294242,2.9643470470134337,inline-4,V6
1llNz7oLjM8_11_21.wav,inline-4,single-cylinder,28.407102584838867,19.275436680491378,3.8090827778754703,2.3973398418610135,inline-4,V6
