clip_filename,true,class,R_trim,mu_train,sigma_train,Z,pred_calibrated,pred_raw
1_vBCN7D6Tw_29_39.wav,V6,V6,25.393268585205078,18.7994640249955,4.970128669926605,1.3266868924556332,V8,V8
1_vBCN7D6Tw_29_39.wav,V6,V8,22.85814094543457,20.20589235850743,5.121608931294098,0.5178545692392381,V8,V8
1_vBCN7D6Tw_29_39.wav,V6,inline-4,27.060598373413086,20.151246161687943,7.606572392535503,0.9083397692376454,V8,V8
1_vBCN7D6Tw_29_39.wav,V6,inline-6,42.96466827392578,18.075583730425155,4.280643689259799,5.814332224367966,V8,V8
1_vBCN7D6Tw_29_39.wav,V6,single-cylinder,30.5918025970459,19.556443795925233,3.833699185507566,2.878514527910105,V8,V8
-h_Jo-4R1qw_20_30.wav,V6,V6,18.604694366455078,18.7994640249955,4.970128669926605,-0.039188051552657144,V8,V8
-h_Jo-4R1qw_20_30.wav,V6,V8,18.10079002380371,20.20589235850743,5.121608931294098,-0.41102363787307256,V8,V8
-h_Jo-4R1qw_20_30.wav,V6,inline-4,26.411205291748047,20.151246161687943,7.606572392535503,0.8229671403907415,V8,V8
-h_Jo-4R1qw_20_30.wav,V6,inline-6,21.175573348999023,18.075583730425155,4.280643689259799,0.7241877258674414,V8,V8
-h_Jo-4R1qw_20_30.wav,V6,single-cylinder,22.61098289489746,19.556443795925233,3.833699185507566,0.796760244131627,V8,V8
44uH0cqsoTA_30_40.wav,single-cylinder,V6,15.854436874389648,18.7994640249955,4.970128669926605,-0.5925454542908932,single-cylinder,inline-6
44uH0cqsoTA_30_40.wav,single-cylinder,V8,16.5269718170166,20.20589235850743,5.121608931294098,-0.7183134422880001,single-cylinder,inline-6
44uH0cqsoTA_30_40.wav,single-cylinder,inline-4,19.686105728149414,20.151246161687943,7.606572392535503,-0.06114980697416118,single-cylinder,inline-6
44uH0cqsoTA_30_40.wav,single-cylinder,inline-6,15.595100402832031,18.075583730425155,4.280643689259799,-0.5794650308823167,single-cylinder,inline-6
44uH0cqsoTA_30_40.wav,single-cylinder,single-cylinder,16.536767959594727,19.556443795925233,3.833699185507566,-0.7876663478829297,single-cylinder,inline-6
490glKBS92E_4_14.wav,single-cylinder,V6,27.518558502197266,18.7994640249955,4.970128669926605,1.7542995476071894,inline-4,V6
490glKBS92E_4_14.wav,single-cylinder,V8,33.34404373168945,20.20589235850743,5.121608931294098,2.5652390780766527,inline-4,V6
490glKBS92E_4_14.wav,single-cylinder,inline-4,31.635217666625977,20.151246161687943,7.606572392535503,1.5097432736205216,inline-4,V6
490glKBS92E_4_14.wav,single-cylinder,inline-6,29.480968475341797,18.075583730425155,4.280643689259799,2.6644088069121303,inline-4,V6
490glKBS92E_4_14.wav,single-cylinder,single-cylinder,41.753875732421875,19.556443795925233,3.833699185507566,5.790081814558905,inline-4,V6
1llNz7oLjM8_11_21.wav,inline-4,V6,22.776880264282227,18.7994640249955,4.970128669926605,0.8002642393049878,inline-4,V6
1llNz7oLjM8_11_21.wav,inline-4,V8,25.7801570892334,20.20589235850743,5.121608931294098,1.0883815624160698,inline-4,V6
1llNz7oLjM8_11_21.wav,inline-4,inline-4,24.223247528076172,20.151246161687943,7.606572392535503,0.5353267090949102,inline-4,V6
