filename,true,class,Rtrim,Z
-KU0rKvbJsY_30_40.wav,V8,V6,31.682144165039062,1.5036988288222326
-KU0rKvbJsY_30_40.wav,V8,V8,23.663490295410156,-0.11220131138330863
-KU0rKvbJsY_30_40.wav,V8,inline-4,26.471426010131836,0.4736297243875706
-KU0rKvbJsY_30_40.wav,V8,inline-6,23.43649673461914,-0.27930610149345664
-KU0rKvbJsY_30_40.wav,V8,single-cylinder,28.1390438079834,0.4531349664132722
4PKW7SUBEqE_5_15.wav,inline-4,V6,20.279233932495117,-0.8913589391803437
4PKW7SUBEqE_5_15.wav,inline-4,V8,18.75524139404297,-0.9984799383266527
4PKW7SUBEqE_5_15.wav,inline-4,inline-4,20.426517486572266,-0.7892392118347366
4PKW7SUBEqE_5_15.wav,inline-4,inline-6,19.397653579711914,-0.8770164481529465
4PKW7SUBEqE_5_15.wav,inline-4,single-cylinder,19.63494873046875,-1.1575199269828258
-hbvBerlHmU_6_16.wav,single-cylinder,V6,21.37220573425293,-0.661792052252057
-hbvBerlHmU_6_16.wav,single-cylinder,V8,21.668212890625,-0.47248697623447156
-hbvBerlHmU_6_16.wav,single-cylinder,inline-4,21.87920379638672,-0.4857520031218075
-hbvBerlHmU_6_16.wav,single-cylinder,inline-6,21.283355712890625,-0.597950479881971
-hbvBerlHmU_6_16.wav,single-cylinder,single-cylinder,22.319303512573242,-0.6491096698068918
-aYOvtB413Q_16_26.wav,single-cylinder,V6,30.669845581054688,1.2910764773640746
-aYOvtB413Q_16_26.wav,single-cylinder,V8,28.76097869873047,0.8082481429416175
-aYOvtB413Q_16_26.wav,single-cylinder,inline-4,30.0567569732666,1.2226572872980983
-aYOvtB413Q_16_26.wav,single-cylinder,inline-6,30.825620651245117,0.8142139111245847
-aYOvtB413Q_16_26.wav,single-cylinder,single-cylinder,27.047117233276367,0.24632673287984483
02HqMO1ZKXM_30_40.wav,inline-4,V6,23.06665802001953,-0.30589070542284247
02HqMO1ZKXM_30_40.wav,inline-4,V8,22.717378616333008,-0.283039949911601
02HqMO1ZKXM_30_40.wav,inline-4,inline-4,22.66754722595215,-0.3210556434675689
02HqMO1ZKXM_30_40.wav,inline-4,inline-6,22.841787338256836,-0.3673174319234283
02HqMO1ZKXM_30_40.wav,inline-4,single-cylinder,22.20973777770996,-0.6698611531096464
-OXCCrp2Dm8_14_24.wav,single-cylinder,V6,24.05176544189453,-0.09897956300719801
-OXCCrp2Dm8_14_24.wav,single-cylinder,V8,26.642221450805664,0.42566582035524814
-OXCCrp2Dm8_14_24.wav,single-cylinder,inline-4,24.315279006958008,0.023179388931768168
-OXCCrp2Dm8_14_24.wav,single-cylinder,inline-6,24.82240104675293,-0.07420545383995872
-OXCCrp2Dm8_14_24.wav,single-cylinder,single-cylinder,25.211315155029297,-0.1013697090912059
22GGPMRWSjw_30_40.wav,single-cylinder,V6,28.25649070739746,0.7841774297329601
22GGPMRWSjw_30_40.wav,single-cylinder,V8,25.38640594482422,0.1989042064474101
22GGPMRWSjw_30_40.wav,single-cylinder,inline-4,22.4217472076416,-0.3724068271021023
22GGPMRWSjw_30_40.wav,single-cylinder,inline-6,22.19056510925293,-0.46369212371539803
22GGPMRWSjw_30_40.wav,single-cylinder,single-cylinder,23.35102081298828,-0.45370492616654384
